,month,Month,Date,Weekly_Sales,week_no
0,1,Jan,2011-01-07,21.1,1.0
1,1,Jan,2011-01-14,19.3,2.0
2,1,Jan,2011-01-21,19.700000000000003,3.0
3,1,Jan,2011-01-28,18.1,4.0
4,2,Feb,2011-02-04,24.400000000000002,1.0
5,2,Feb,2011-02-11,24.1,2.0
6,2,Feb,2011-02-18,24.3,3.0
7,2,Feb,2011-02-25,21.700000000000003,4.0
8,3,Mar,2011-03-04,24.6,1.0
9,3,Mar,2011-03-11,21.700000000000003,2.0
10,3,Mar,2011-03-18,21.1,3.0
11,3,Mar,2011-03-25,18.8,4.0
12,4,Apr,2011-04-01,20.5,1.0
13,4,Apr,2011-04-08,22.6,2.0
14,4,Apr,2011-04-15,21.700000000000003,3.0
15,4,Apr,2011-04-22,24.900000000000002,4.0
16,4,Apr,2011-04-29,18.6,5.0
17,5,May,2011-05-06,22.700000000000003,1.0
18,5,May,2011-05-13,21.200000000000003,2.0
19,5,May,2011-05-20,20.400000000000002,3.0
20,5,May,2011-05-27,20.1,4.0
21,6,Jun,2011-06-03,24.700000000000003,1.0
22,6,Jun,2011-06-10,23.400000000000002,2.0
23,6,Jun,2011-06-17,23.6,3.0
24,6,Jun,2011-06-24,20.400000000000002,4.0
25,7,Jul,2011-07-01,23.900000000000002,1.0
26,7,Jul,2011-07-08,23.6,2.0
27,7,Jul,2011-07-15,21.3,3.0
28,7,Jul,2011-07-22,20.700000000000003,4.0
29,7,Jul,2011-07-29,19.1,5.0
30,8,Aug,2011-08-05,24.1,1.0
31,8,Aug,2011-08-12,22.700000000000003,2.0
32,8,Aug,2011-08-19,24.0,3.0
33,8,Aug,2011-08-26,23.8,4.0
34,9,Sep,2011-09-02,21.8,1.0
35,9,Sep,2011-09-09,23.0,2.0
36,9,Sep,2011-09-16,21.0,3.0
37,9,Sep,2011-09-23,19.5,4.0
38,9,Sep,2011-09-30,19.8,5.0
39,10,Oct,2011-10-07,23.1,1.0
40,10,Oct,2011-10-14,21.700000000000003,2.0
41,10,Oct,2011-10-21,22.400000000000002,3.0
42,10,Oct,2011-10-28,21.700000000000003,4.0
43,11,Nov,2011-11-04,24.700000000000003,1.0
44,11,Nov,2011-11-11,24.900000000000002,2.0
45,11,Nov,2011-11-18,23.0,3.0
46,11,Nov,2011-11-25,41.2,4.0
47,12,Dec,2011-12-02,25.6,1.0
48,12,Dec,2011-12-09,31.3,2.0
49,12,Dec,2011-12-16,36.5,3.0
50,12,Dec,2011-12-23,51.800000000000004,4.0
51,12,Dec,2011-12-30,20.1,5.0
